"maxO3" "T6" "T9" "T12" "T15" "Ne6" "Ne9" "Ne12" "Ne15" "Vx6" "Vx9" "Vx12" "Vx15" "Vx18" "maxO3v" "Vent12"
127.8 13.5 19.9 25.5 27.8 3 2 3 3 -0.3473 2.5712 3.8302 2.5 1.3892 103.6 "E"
67.2 16.3 18.8 22.4 23.5 7 7 6 7 0.3473 0 0.8682 -2.0521 1.0419 127.8 "N"
46.2 14.4 19.2 22.7 23.3 6 4 7 7 -0.684 -0.3473 -2.5981 -3.9392 -3.7588 67.2 "W"
65.6 17.7 19.3 24.2 25.5 8 7 6 6 -2 -2.8191 -3.9392 -5 1.0261 46.2 "W"
66.8 17.1 19.4 21 24.3 8 7 7 5 -2.2981 -2.5712 -1.9696 -3.9392 -3.9392 65.6 "W"
56.4 12.6 20.2 21 23.9 1 7 8 4 -0.684 -3.9392 -4.3301 -3.8567 -3.9392 66.8 "W"
69.2 17 19.5 21.6 22.1 7 7 5 7 -1 -2.5712 -4.5963 -3.8302 1.3681 56.4 "W"
61.6 13.4 18 19.4 21.5 4 6 7 7 -1.5321 -1.5 -2.0521 -1.7101 0 69.2 "N"
104.8 10.3 18.8 22.7 24.4 1 1 5 3 -1 1.9284 2.5712 2.5712 1.0419 61.6 "N"
131 14.5 23.2 26.4 27.7 0 0 0 2 1.9696 4.3301 4.6985 3.2139 3.0642 104.8 "E"
108.6 14.3 22.7 26.9 24.1 3 7 7 7 0 1.5321 -2.0521 -0.6946 -4.6985 131 "S"
77.6 17.4 16.5 21.6 23 8 4 2 2 -2.5981 -3.9392 -4.3301 -3.8567 -2.0521 108.6 "W"
73.6 8.9 17.1 20.4 23 0 3 3 2 0 -1.0261 -0.5209 -1.5 4.5963 77.6 "N"
89.4 9.8 19 24.7 26.8 3 6 2 6 0 0 -2.5 -3.4641 -3.4641 73.6 "S"
48 16.9 17.8 18.7 20.7 8 8 8 7 0 -0.6946 -0.8682 -3.2139 -3 89.4 "S"
63.6 16.8 18.9 20.8 21.4 8 7 7 6 -3 -1.9284 -3.8302 -4.3301 -4.3301 48 "W"
63 14.5 17.8 19.8 21.1 6 7 6 6 -1.9284 -6.8937 -4.5963 -6.1284 -5.7851 63.6 "W"
77 13.2 18 20.2 22.6 1 5 6 4 -2.9544 -3 -0.8682 -2.0521 1.0419 63 "N"
106.8 14.8 16.9 22.3 24.2 8 7 4 3 -1.5321 -1.5 -1.0261 2.0521 0.8682 77 "N"
106.6 12.4 19.3 23.6 25.2 0 0 4 1 -0.866 -1.0261 1.3681 0.6946 2.5 106.8 "N"
106.4 13.5 14.5 20.5 25.4 9 8 4 1 0.6428 0.6428 1.7321 2 -0.5209 106.6 "E"
118.6 13.2 21.8 27.2 28.7 0 0 2 3 0.1736 0.6428 0.866 2 2 106.4 "E"
134.2 13.5 22.3 29.5 30.6 0 1 2 1 0 0.342 0.5209 1.9284 1.9284 118.6 "S"
143 17 25.2 29.6 31.1 0 0 0 0 1.7321 1.5 2 2.5981 1.8794 134.2 "S"
131.2 16.1 25 31.6 31.4 1 0 2 6 0 1.2856 2.5981 -2.8191 1.3681 143 "E"
93.6 17.5 18.9 22.2 24.8 7 7 7 7 -1.7321 -1 0 -1.5321 1.5 131.2 "N"
64.8 13.9 16.4 21.7 24 7 6 6 5 -1.5321 -0.5 -2 -1.9284 1.7101 93.6 "N"
71.8 11.6 19.3 23.1 23.3 1 1 6 6 0 -2.0521 -3.5 -5.7851 -3.5 64.8 "S"
60 18.1 17.9 21.4 22.1 7 3 5 4 -4.3301 -6.8937 -6.0622 -6.1284 -5.1962 71.8 "W"
67.2 14 17.6 21.7 20.3 7 7 7 6 -3.0642 -4.924 -6.8937 -6 -2.2981 60 "W"
79.2 13.4 17.7 20.2 22 2 4 4 5 -2.2981 -3.9392 -3.9392 -4 -5.9088 67.2 "W"
61.2 10.1 16.9 20.3 20.8 1 2 4 6 -0.9848 -1.9696 -2.5981 -1.5321 -1.5 79.2 "W"
60.4 11.2 15.8 18.3 18.8 3 5 6 6 -0.9848 -1.5 3.8567 -2.5 -0.766 61.2 "N"
87.4 11.6 15.1 17.9 20 5 7 7 3 -2 -3.7588 -2 -2.3941 -2.0521 60.4 "N"
75 12.6 16.1 18.9 19.2 4 7 7 6 -2.8191 -2.0521 -2.0521 -2.7362 -2.0521 87.4 "N"
64.8 11.7 15.9 18.3 18.6 5 7 6 7 -1.9284 -1.0261 0 0 0.5209 75 "N"
74.4 11 17.2 20.5 19.3 3 4 5 5 -0.9848 -1.3681 0 1.0419 0 64.8 "N"
87.8 8.4 15.5 19.7 21.7 7 5 5 5 -1.8794 1.5321 2.5981 4.6985 1.7101 74.4 "E"
96 8.5 16.4 21.1 22.6 5 1 2 3 -1 1.5321 2.5712 5.6382 2.0521 87.8 "N"
102.8 8.7 17.2 20.7 22.2 3 2 4 1 -1 3.0642 3.8302 5.3623 5.6382 96 "E"
112.6 12.2 18.6 24.7 27.1 0 0 0 1 0.3473 2.2981 5.6382 4.924 3 102.8 "E"
99.6 12.8 16.7 22.3 24.8 4 0 0 0 0.5209 1.9696 0.5209 3.0642 -0.8682 112.6 "N"
110.2 9.6 17.7 23.8 25.1 0 0 0 0 -0.9397 1 1.7321 2.5981 0.6946 99.6 "E"
103.8 9.2 17.5 21.8 22.9 0 0 0 0 0.342 2.9544 4.6985 1.9284 3.0642 110.2 "E"
96.8 8.6 16.8 19 21 1 3 6 2 0 6.8937 7.8785 6.0622 6.1284 103.8 "E"
78.8 12.9 16.2 19.1 21.1 6 4 2 3 1.9284 3.2139 3 3.5 4.4995 96.8 "N"
57.2 13.1 15.1 17.3 18.8 7 8 8 6 0 2 2.5 2.0521 3 78.8 "N"
74.4 11.8 15.8 18.7 17.4 4 7 7 8 1.9284 2.8191 4.6985 3.8302 1.3681 57.2 "E"
67 7 15.3 17.5 17.4 6 7 7 7 -1.8794 -2.5712 1.2155 -2.0521 -1.0419 74.4 "N"
66.8 7.4 14.7 16.9 17.5 2 2 1 1 -0.766 2.5 1.0419 0 2.0521 67 "N"
78.8 5.3 14 18.4 19.4 1 1 5 1 -1.5321 0.6428 3.2139 3.8302 2.0521 66.8 "N"
89.6 5.9 14.5 20.7 22.9 1 0 1 0 -0.866 0.3473 3.4641 4.6985 2.8191 78.8 "E"
94.2 9.7 16.7 20.9 23.2 1 1 0 0 1.8794 5.6382 5.1962 4.5963 3.9392 89.6 "E"
100 9.8 16.1 21.6 23.9 2 1 2 2 2.9544 3.9392 6 4.924 2.9544 94.2 "E"
90.4 10.3 14.5 17.9 20.2 4 1 6 7 3.9392 4.6985 5 4.6985 6 100 "E"
45.6 10.3 12 14.3 13.8 2 5 8 7 3.8567 4.5963 3.8567 3 -3.4641 90.4 "N"
36.8 11.1 11.1 12.3 15.3 8 8 8 6 -3 -1.8794 0.5 2.9544 1.8794 45.6 "S"
89.2 8.6 11 17.8 18 5 6 4 5 1.2856 3.0642 4.6985 5.1962 1.9284 36.8 "E"
72.2 12.3 14.1 14 15.2 8 7 7 7 -1.0261 2.5712 0 2.0521 0.5209 89.2 "N"
66.4 9 12.3 18 18.5 7 7 7 7 -0.766 0 -1.5321 -3 -1.8794 72.2 "W"
83 5.4 12.1 19.3 19.3 6 5 5 8 0 -0.342 -0.684 -0.9848 -2.8191 66.4 "S"
78.6 12.2 13.9 17.5 19.3 1 6 7 5 -1.9284 -1.7321 -0.5209 -1.2155 1.0261 83 "N"
44.4 10.5 14.1 17 15.1 8 6 8 8 -1.7321 -2 -3.2139 -1.7101 -2.3941 78.6 "S"
62.8 12.9 16.6 19.6 19.1 2 7 5 3 -2.2981 -4.924 -5.6382 -3.5 -2 44.4 "W"
64 11.2 12 18.8 19.2 9 8 6 7 -2.5981 -0.3473 -2.5981 -3.4641 -3.0642 62.8 "W"
53.4 13.6 16.9 20.1 18.4 3 7 8 8 -2.2981 -4.3301 -4.5963 -4.5963 -4.5963 64 "W"
60 16.3 16.8 17.4 16.4 8 8 8 8 -2 -2.5 -3 -3 -1.0419 53.4 "S"
72.6 10.2 15.9 19.2 20.7 1 4 3 4 -1.2856 -1.2856 -1.9284 -4.3301 -1.5321 76.2 "S"
79.2 10.9 20.3 22.6 24.9 2 7 7 5 0 2.8191 2.2981 2.9544 2.8191 72.6 "E"
80 17.7 20.2 21 18.5 6 7 7 6 2.8191 2 3.2139 -4.5 -2.0521 79.2 "S"
73.4 16.6 20.6 24.7 27.8 7 8 6 4 1.7101 -2.0521 0 -3.4202 -3.5 80 "S"
55.4 17 18.8 20.1 22.8 8 7 7 6 0 -2.0521 -6.9282 -3.2139 -3.9392 73.4 "W"
58.2 15.6 13.4 18.4 21.4 2 7 6 3 -1.7101 -5.9088 -4.924 -6.0622 -4.3301 55.4 "W"
70.2 12.8 15.9 21.2 23 9 6 7 6 0.1736 1.8794 2.5981 2.9544 3.9392 58.2 "E"
81.6 18.5 20.3 19.9 23.1 7 8 8 7 5 4.3301 4.3301 2.5712 0.6946 70.2 "E"
73 16.2 19 17.6 21.7 8 7 8 6 1.9696 0 -1.9284 -5.3623 -4.5963 81.6 "S"
96 15.9 17.5 20.8 21 8 7 7 6 -1.5 -3.2139 -4.924 -6.1284 -3.8302 73 "W"
97.8 15.9 18.3 17.6 16.9 7 7 8 8 -1.5 -2.5712 -3.4641 -2 -2.5981 96 "W"
67.6 13.8 16.4 19.1 17.8 7 7 7 7 -2.8191 -4.924 -4 -2.2981 0.5209 97.8 "W"
59.8 13 17.4 19.8 20.9 6 6 7 5 -0.9397 -0.766 -0.3473 0.684 2 67.6 "S"
63.8 14.1 18.8 20.2 14.1 6 6 7 7 1 0.6428 -1.9284 -2.0521 -1.0261 59.8 "N"
68.4 13.6 16.7 19.1 19.2 7 7 7 6 0 0.6946 2.5712 2.0521 0.6946 63.8 "N"
72.8 9.8 15.5 21.4 19.7 9 1 1 8 0 -0.766 -0.9848 -3.4641 -0.766 68.4 "W"
62.6 12.2 15.8 16.4 15.2 8 6 8 8 -0.5 -3.7588 -4.6985 -6.8937 -5.1962 72.8 "W"
57.6 12.4 14.9 14.9 15.8 7 8 8 8 -0.6946 -2.0521 -4.4995 -4 -5.1962 62.6 "S"
57.4 13 16.7 14 16.9 5 7 6 5 -3.4641 -4.5963 -5 -5.3623 -4.924 57.6 "W"
62.2 11.4 16.3 15.6 15.2 2 5 7 7 -3.9392 -4.6985 -6.9282 -3 -5.6382 57.4 "W"
74.4 12.7 16.5 15.3 17.2 6 8 8 7 -3.7588 -4.6985 -6.1284 -3.5 -1.7101 62.2 "W"
70.2 13.2 15.5 17.7 17.9 8 8 8 7 -2.9544 -2.8191 -2.2981 -1.5 -1.8794 74.4 "W"
75.4 12.4 13.7 14.6 18.2 8 8 8 7 -2 -2.3941 -3.0782 -5 -6 70.2 "S"
61.8 10.8 13.7 18.5 16.2 7 7 5 7 -0.9397 -0.9848 -5.6382 -6.0622 -4.924 51.6 "W"
60.6 11.7 15.1 14.1 15.8 5 7 7 7 -2 -4.3301 -3.4641 -4.3301 -3.8302 61.8 "W"
76.4 11.1 15.5 17 15.7 6 5 7 7 -0.9397 -2.9544 -4.6985 -2.8191 -2.0521 60.6 "W"
92.4 13.2 16.8 19.6 20.9 1 3 5 3 -1.9284 -2.5 -1.3681 -0.6946 2.0521 76.4 "N"
99.2 10.8 16.2 21.2 23.2 0 1 1 1 0 1.2856 -1 0.5209 2.5 92.4 "N"
87.4 12.2 19 24.8 25.6 6 1 3 5 0.1736 -0.5 1.5 3.0642 3.8567 99.2 "N"
96.2 15.2 23.1 26 27.3 0 2 2 3 0 3.9392 4.6985 5.9088 5 87.4 "E"
89.4 17 22.7 25 26.3 0 0 1 2 0.684 5.1962 5.6382 4.3301 5.6382 96.2 "E"
100.2 16.3 20.8 23.2 25.1 5 0 1 1 -0.3473 1.3681 -1.0261 -2 0 89.4 "N"
94.6 14.2 18.2 22.8 19.9 9 2 6 8 -1 -0.6946 -1.2856 1.7101 1.9284 100.2 "N"
71.4 15.9 20.2 22.6 23.2 2 5 3 7 -1 -2 -1.9696 -3.9392 -4 94.6 "W"
76.8 15.8 20.6 24 24.9 5 6 6 7 -0.3473 -0.9848 -3 -2.2981 -4.924 71.4 "W"
67.8 15.3 17.5 19.8 22 2 7 6 5 -1.9284 -1.5 -1.0261 1.5 -0.8682 76.8 "N"
65.6 13.1 19.5 23.5 23.7 1 4 7 7 -1.2856 -1.9696 -2.5981 -1.9696 -0.6428 67.8 "W"
67.4 16.7 17.3 20.6 20.2 7 8 5 4 0 2 0.6946 0 1.2155 65.6 "N"
66.8 15.7 18.1 19.7 22 8 8 7 6 -0.6946 -0.5209 -3.8302 -1.3892 -2.5 67.4 "W"
80.2 14.6 16.8 20.3 20.9 4 7 5 4 -1.5 -0.8682 -0.8682 -1.0419 -0.8682 66.8 "N"
99.2 12.9 19.6 22.8 24.3 1 5 4 3 -1.7321 1.0261 1.9284 1 2.0521 80.2 "N"
99 12.1 20.7 23.9 25.3 2 3 6 6 -0.5 3.4641 3.7588 4.3301 3.8302 99.2 "E"
98.6 13.9 21.2 24.2 26.2 3 3 3 3 1 3.9392 3.7588 5.9088 4.3301 99 "E"
109.2 13.4 23.2 26.3 27.3 1 2 4 3 -0.766 2.9544 4.6985 3.9392 2.5712 98.6 "E"
135.6 14.2 22.2 26.7 27.6 1 4 5 3 -1.5321 0 0.5209 0 0 109.2 "N"
124.8 13.2 20 24.5 21.8 7 7 7 8 -1.7321 -0.6428 -4.6985 -4.924 -4.3301 135.6 "W"
40.2 15.1 15.1 21.1 22.9 8 8 8 7 -2.5981 -0.6946 -4.3301 -5.9088 -4.924 124.8 "W"
39.4 16.5 19.5 23 24.7 7 7 7 7 0.1736 -2.5712 -3.4641 -5.9088 -4.924 40.2 "W"
74.8 18.2 18.9 23 24.5 7 7 5 3 -0.5 0 -1.9284 0 2.5 39.4 "N"
90.2 13 20.2 24.7 27.2 1 2 3 5 -0.342 1.5321 -0.684 -0.3473 3.8567 74.8 "N"
112 14.5 22.8 28.4 30 5 4 2 6 0 2.5981 1.0261 -3.4641 -3.0642 90.2 "S"
77.2 15.3 19.6 21.8 23.6 6 8 6 3 -0.5 -2.5 0.6946 -0.8682 1.0419 112 "N"
67 12.2 17.7 20.8 23.2 6 7 7 6 -0.9397 -3.4641 -2.5712 -2 2.0521 77.2 "N"
74.6 13.2 18.3 21.5 25.3 7 7 2 1 -2.8191 -2.5981 -2.2981 -2.2981 3 67 "W"
37.4 18.2 19.3 21.7 24 8 8 7 8 -0.866 -0.342 1 0.684 1 74.6 "N"
88.8 18.3 21.7 27.6 30.1 7 7 5 6 0.684 0.9397 1.8794 -0.5209 -3.4641 37.4 "E"
71.2 17.4 22.1 23.2 24.7 3 2 7 7 0 -1.8794 -1.0261 0 -0.3473 88.8 "S"
49.8 18.4 19.6 23.1 21.3 8 7 7 7 -1.0261 -0.766 -1.9696 0.9397 0.6428 71.2 "W"
87.4 16.7 20.2 24.8 26.6 6 2 3 3 -1 -1.5321 -1.9696 0.766 -1.8794 49.8 "W"
82.6 19.6 23.6 24.1 26.4 5 7 8 4 0.9848 1.8794 0.684 2.8191 0 87.4 "S"
114.6 16.6 19.7 26.8 29.9 9 2 1 3 0.3473 -0.5209 0.684 2.2981 3.2139 82.6 "N"
121.8 17.3 24.4 29.1 31.2 1 2 5 6 0 0.866 1.8794 3.8302 3.2139 114.6 "E"
142.8 17.5 25.1 31.4 22.7 4 6 7 7 -0.5 1.5321 4.6985 -3.2139 2.5981 121.8 "E"
95.4 19.5 20 21.8 24.3 8 8 8 6 -1.5321 -0.5 -3.0642 -1.9284 0 142.8 "W"
131.8 16.5 19 25.8 29.2 9 3 3 4 0.5 -0.342 -0.5 -0.6428 1.5321 95.4 "N"
84 17.4 22.4 25.2 27.5 3 4 3 1 -0.6428 -2.5981 -2.8191 -3.4641 1.7101 131.8 "W"
102.6 15.7 21.4 26.5 27.9 2 5 1 2 0.3473 1.8794 -0.9397 1 2.5 84 "W"
134.4 18 23 28.5 29.8 6 3 7 2 1.5 2.8191 3.9392 4 2 102.6 "E"
119.4 18.8 24.4 28.7 30.1 1 4 5 6 0 1.2856 0 0.766 0.1736 134.4 "S"
87.6 17.5 18.3 21 22.8 8 8 8 7 -0.5209 -1 -0.866 0.1736 1.5 119.4 "W"
108 17.1 20.2 25.1 26.7 5 3 3 5 0.684 1.2856 1.2856 0 -1.0261 87.6 "N"
114 18.4 22.2 27 29 7 7 7 3 0 0.9848 -0.342 -1.5321 5.1962 108 "N"
113.8 19.4 25.3 29.4 31.4 6 3 2 4 0.342 0 0.866 1.2856 -0.9397 114 "E"
83 17.1 20.9 24.6 27.9 3 4 3 2 -1.7321 -1.0261 -1.5321 -1 0 113.8 "W"
122 16 21.5 26.2 29.1 3 3 2 3 -1.2856 0 -1 -1.7321 2.5 83 "N"
89.8 19 20.7 24 28.4 9 7 5 1 0.6428 -2 -2 -1.9284 -1.7321 122 "S"
92.8 18.5 19.7 26.1 27.2 8 7 7 7 -0.9397 -0.766 -0.766 -0.866 -1 89.8 "W"
61.6 18.6 19.6 19.4 20.7 8 8 7 7 0.5209 -1.9284 -0.5209 -2.0521 1.3681 92.8 "N"
74.6 12.1 16.7 20.9 22 7 7 6 7 -0.6428 0.684 0.1736 2.2981 0 61.6 "S"
55.8 16.9 17.7 17.5 22.4 8 7 7 5 -1.0419 0 -1.9284 -4.5963 -3.4641 74.6 "S"
59.6 13.3 17.3 16.8 19 3 4 7 5 -2.5712 -5.1962 -7.5175 -8.8633 -6.5778 55.8 "W"
56.4 13.9 18.1 20.9 20 4 6 6 7 -4.6985 -5.9088 -6.8937 -6.0622 -1.3681 59.6 "W"
44.8 18.8 19.6 20.3 21.8 8 8 8 6 -4.3301 -4.3301 -4.924 -4.6985 -2.5712 56.4 "W"
70.6 17.7 21.3 23.5 23.8 5 5 4 4 3.0642 -1.0419 -6.0622 -6.9282 -4.3301 44.8 "W"
62.2 12.5 15.2 19.6 20.9 6 7 7 4 0 -1.5 -0.342 0 1.5 70.6 "S"
62.6 10.5 16.8 21.5 22.6 0 1 3 4 0 0 -3.7588 -3.8302 -2.5981 62.2 "W"
65.8 12.1 18.3 22.6 23.6 2 6 6 6 0.3473 -2.5 -2.5 -3.8567 -1.3681 62.6 "S"
52 17.9 17 17.1 18.3 8 8 8 7 -1.9284 1.0261 -0.8682 1.9284 1 65.8 "N"
57 12.4 16 18.6 17.9 7 7 7 7 0.1736 0.1736 0 -0.6946 0.3473 52 "N"
69 9.4 16.6 19.4 20.6 1 3 4 4 -0.6428 -1.5 -2 -0.6946 0.6946 57 "N"
61 10 16.3 19.2 20.4 7 7 7 7 0 -1.0261 -0.342 -2.5712 -1.3681 69 "N"
61 11.5 15 19 20.6 7 7 8 1 0 -0.9397 0.5209 1.7101 0.8682 61 "N"
60.2 10.1 14 17.7 20.7 7 8 8 2 0 -0.5 2.5712 3.8567 1.3681 61 "N"
83.8 10 16.3 21.4 23.7 1 1 1 0 1.9696 5 4.924 4 3 60.2 "E"
90.4 10.4 16.7 22.2 23.9 4 4 4 3 1.7321 -1.5 -4 -3.8302 -3.4641 83.8 "W"
60.8 14.6 16.4 18 18.3 7 7 7 7 -1.5 -1.5 -3.2139 -5.9088 -2 90.4 "S"
62.6 8.5 14.4 16.8 17.7 1 2 4 4 -2.8191 -3.2139 0 0.8682 1.3681 60.8 "N"
74 7.6 12.6 17.9 19.7 7 6 6 1 0 0.866 1.9696 1.8794 2 62.6 "E"
82 6.5 14.9 20.3 21.4 1 4 4 6 0.6428 0.684 2.8191 1.9696 1.7321 74 "E"
98.4 6.4 15.5 23.1 24.4 2 5 6 7 0 0.1736 0 -3.4641 -1.5321 82 "S"
115.4 8.1 15 24.8 27.4 5 1 1 1 -0.6428 0 0.684 -0.5209 -0.9397 98.4 "S"
111.4 12.9 21.3 28.2 29.7 1 1 1 1 0 -1.0261 -2 -1.3681 -0.1736 115.4 "S"
129 13.1 22.2 28.9 30 1 1 1 1 0.1736 1.2856 2.2981 2.8191 2.8191 111.4 "E"
118.6 16.9 21.3 25.4 26.2 2 1 1 1 1.2856 4 6 5.6382 4 129 "E"
106.6 12.6 17.2 23.1 24.9 6 5 1 3 1.9696 2.8191 2.5981 0.9397 2 118.6 "E"
111.6 14.6 15.7 22.5 25 7 7 6 1 1.7321 1.7321 1.2856 1.8794 3 106.6 "S"
128.2 11.4 18.4 23.6 25 2 2 1 1 0 3 3.7588 4.6985 2.5981 111.6 "E"
121.6 9 17.7 24.6 25.8 1 1 1 3 -0.866 4 4.924 4 2.8191 128.2 "E"
118.6 9.6 17.4 23.5 27 1 1 0 1 -0.6428 2.9544 2.8191 2.5981 1.8794 121.6 "E"
122.4 9.5 15.9 23.4 25.4 0 0 0 2 0.3473 0.684 1.5321 2.2981 1.0261 118.6 "E"
139.8 8.1 11.6 22.3 24.3 2 4 6 6 -0.866 -1.5321 -0.684 -0.684 1.3681 122.4 "N"
132 13.9 14.1 19.3 23.5 9 7 0 1 0.3473 -0.3473 0.684 0.5 1.9284 139.8 "N"
140.8 9.6 13.2 25.9 27.4 3 6 4 1 -0.342 -0.684 0.9397 -0.866 1.7321 132 "E"
121.8 10.9 13.8 24.3 26.5 9 3 0 0 -0.866 -0.5 0 0 1.5 140.8 "N"
79.4 9.2 9.8 12.7 11.6 8 8 7 8 -0.1736 1.5 2 0 1.7101 79.6 "N"
84 7.1 10.8 11 11.8 3 6 8 7 0.5209 4.4995 3.5 4.5 4.5 79.4 "N"
106.6 7.3 10.2 13 14.3 1 1 3 3 1.0261 2.0521 3.5 2.3941 0 84 "N"
96 8.3 13.1 15.6 17.8 7 4 2 3 -0.9397 -3 -3.2139 -3.0642 -4.3301 106.6 "N"
74.2 10.9 13.1 14.3 14.2 8 8 7 7 -3.0642 -5.1962 -5.6382 -4.6985 -4.5963 96 "W"
105 11.6 13.7 17.6 19.6 7 6 4 2 -0.5209 -3.2139 -2.5 -3.8567 -1.5 74.2 "S"
115.4 12 17.9 23.8 24.3 6 5 5 7 1.7321 1.9284 2.5712 0 0.5209 105 "S"
106.4 13.3 15.2 19.8 21.3 6 6 5 7 -2.5712 0 -1.5321 0 2.5 115.4 "W"
109.8 11.6 19.6 24.2 26.5 6 3 5 6 -0.766 1.7321 2.5981 3.8302 0.5209 106.4 "E"
121.8 16.4 22.6 26 28 6 3 2 1 -0.1736 -0.9397 0.6946 0.5209 -3.8302 109.8 "S"
115.4 15.3 21 25.1 26.2 3 3 2 6 -0.866 -0.9848 -1.7321 -0.866 1.3681 121.8 "W"
108.8 13.2 18.6 24.9 22.3 3 4 6 7 -1.2856 1 -0.766 1.0261 0.5209 115.4 "W"
120 12.7 15.4 21.3 24 9 6 0 0 0 -1.5 2 -0.8682 0 108.8 "N"
133.8 15.1 19.1 25.5 25.9 1 3 0 1 2.8191 -1.0261 -0.5209 -2.0521 -1.3681 120 "N"
144.4 11.2 18.6 24.4 25.5 2 0 0 1 -1.7321 -1.0261 2.5712 0.8682 0.8682 133.8 "N"
142.8 11.3 17.2 23.7 24.1 0 1 1 2 0 1.5321 3.9392 3.7588 1.0261 144.4 "E"
116.2 12 21.4 24.9 25.8 0 1 2 2 -0.342 2.9544 5 3.7588 4.924 142.8 "E"
136.6 11.9 22.3 25.3 25.1 0 0 3 3 -0.866 3.9392 6 4.3301 3.8567 116.2 "E"
145.8 11.6 18.9 23 23.4 0 1 5 5 -1.7321 1.0261 2.5 3 3 136.6 "N"
117.6 12 19.5 23.5 22.8 1 1 1 2 -0.9848 -1.5 1.2155 0 -0.8682 145.8 "N"
96.8 11.5 14.8 17.2 18.5 3 3 3 4 1.9284 5.1962 3.8567 5.1423 4.4995 117.6 "N"
107 10.1 15.4 18.2 18.9 4 2 5 5 1.2856 2.5 3.8567 2.5 2.0521 96.8 "N"
92.8 12.4 16 17 18.2 7 4 7 5 -1.9284 0.8682 0 -0.8682 1.0419 107 "N"
80.8 9.5 13.3 17.5 18.1 8 8 6 7 -0.9848 -2.5981 -1.8794 -1.9284 -2.2981 92.8 "W"
81.4 11.4 14.4 18.4 16.8 5 8 7 7 -1.9696 -2.9544 -4 -0.6428 -1.3681 80.8 "W"
80 10.7 15 15.9 14.6 3 5 6 7 0 -1.9696 -1.5321 0 2 81.4 "W"
86.8 10.1 14 18 17 4 6 6 5 -0.9848 -0.9397 -0.9397 -4 -2.5981 80 "W"
92.2 8.6 14.9 14.1 18.3 3 6 7 7 0 0.8682 -4 -1.3681 0 86.8 "W"
85 13.8 17.1 17 17.2 7 7 8 7 6 3.2139 1.0261 3.8567 -1.0419 92.2 "S"
87.2 10.7 16.3 18 17 2 6 6 6 0.6428 -0.8682 -2.0521 -3.8302 -3.8567 85 "S"
60.4 11.1 12.5 14.8 16.6 8 8 7 7 1.5321 3.9392 4.3301 2.2981 1.0261 87.2 "E"
88.6 14.7 16.5 18.7 19.6 7 6 5 3 -3.4641 -3.8302 -4.3301 -7.5175 -4.4995 60.4 "W"
95.4 14.3 16.6 18.7 19.2 2 6 5 6 -2 -5.3623 -6.9282 -6.5778 -4.3301 88.6 "W"
101.4 11.3 17.8 21.2 22.8 5 4 6 7 0 2 1.8794 2.9544 3 95.4 "E"
79.6 15.7 17.6 20.8 21.1 8 8 8 8 0.6428 2.5981 1.8794 1.9696 1.7321 101.4 "E"
99 15.9 18.2 20.8 22.8 7 6 6 5 -1.8794 -2.5981 -4.3301 -4.3301 -5.1962 79.6 "W"
84.6 12.9 17.1 18.8 19.5 6 7 6 5 -3.4641 -5.1962 -6.5778 -5.9088 -4.6985 99 "W"
79.8 14.2 18.2 18.8 18.3 6 6 8 8 -2.8191 -5.1962 -4.4995 -5.1423 -3 84.6 "S"
63 16.4 17.4 20.4 16.6 8 8 7 8 -4.4995 -5.3623 -6.1284 -3.8567 -3.2139 79.8 "W"
69.2 13.4 17 18.4 17.9 1 4 5 6 -2.5981 -6.5778 -6.1284 -6.5778 -5.6382 63 "W"
66.2 10.8 12.9 11.9 11.9 6 5 6 7 -4.3301 -5.1423 -5 -4.5 -3.8567 69.2 "N"
67.4 9.4 13.6 15.2 15.6 1 7 7 7 -1.9696 -2.2981 -6.0622 0 -2.5981 66.2 "W"
67.4 11.5 12.9 14.9 19.1 8 8 8 7 0 -1.2155 -2.7362 -7 -4.6985 67.4 "S"
70.2 12.3 15.2 17.3 16.4 7 7 7 7 -2.5981 -3.9392 -4.924 -6.8937 -2.9544 67.4 "W"
85.8 12.6 14 15 17 8 8 7 3 -3.4641 -3.0642 -5.3623 -1.2155 -2.0521 70.2 "W"
84.6 9.4 14.8 18.3 19.1 2 3 4 5 -0.9848 -1.8794 -3 -1.9284 0.6946 85.8 "W"
104 9.8 15.7 19.6 21.2 7 6 6 6 -0.866 0 -3 -2.8191 -3.7588 84.6 "W"
91.4 13.3 17.3 21.2 23.8 7 5 4 2 -0.9397 -2.8191 -2.8191 -2.5981 -0.6428 104 "W"
115.2 14.8 22.9 27.3 29.7 5 5 5 6 2.5981 2 2 0.6946 2 91.4 "S"
151.2 18.8 26 32.7 35.1 7 5 5 5 1.5321 3.0642 2.0521 -2.3941 -1.9284 115.2 "S"
106.8 16.9 17.6 20.3 21.3 8 8 7 6 -1.8794 1.9284 -0.6428 0.6946 0.684 151.2 "N"
85.6 13.8 17.6 20.8 22.1 5 5 6 6 -0.6428 -1.7321 -2.8191 -1.5321 0.8682 106.8 "W"
92.6 12.4 18.4 21.8 24.1 4 5 5 5 0 -2 -1.9696 -1.7321 -2.9544 85.6 "W"
88.4 14.2 19.2 23.2 23.9 1 1 4 4 -0.866 -2.8191 -2 -4.924 -4.6985 92.6 "S"
72.6 13.9 17.4 20.3 20.7 2 4 6 6 -1.8794 -2.5981 -3.9392 -5.9088 -5 88.4 "W"
